file_path,class_name
COVID-19_Radiography_Dataset\Normal\images\Normal-5462.png,Normal
COVID-19_Radiography_Dataset\Normal\images\Normal-9795.png,Normal
COVID-19_Radiography_Dataset\Normal\images\Normal-3373.png,Normal
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-3771.png,Lung_Opacity
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-4234.png,Lung_Opacity
VIN/00b05e693202bb65a0c0ca7a0201495d.png,Normal
COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-944.png,Viral Pneumonia
VIN/fc24ad13f52fb8b4135f5a18a982a1cf.png,Fibrosis
COVID-19_Radiography_Dataset\COVID\images\COVID-154.png,COVID
COVID-19_Radiography_Dataset\COVID\images\COVID-3553.png,COVID
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-2978.png,Lung_Opacity
VIN/e1bf1c0bec552c714a37911ab0f63c48.png,Normal
VIN/6b2adaa77cf6ef3d3cea8b8b54f88df2.png,Normal
VIN/47d1e25eede8a23cc44fda5c031127d6.png,Fibrosis
COVID-19_Radiography_Dataset\Normal\images\Normal-341.png,Normal
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-3202.png,Lung_Opacity
COVID-19_Radiography_Dataset\Normal\images\Normal-9870.png,Normal
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-5327.png,Lung_Opacity
VIN/0740b2aadf9f282346e0d2142c619067.png,Normal
COVID-19_Radiography_Dataset\Normal\images\Normal-9066.png,Normal
VIN/25b53b003975ed4bfc8f7b7adafbefd8.png,Normal
COVID-19_Radiography_Dataset\COVID\images\COVID-3451.png,COVID
VIN/0e8ced5dabd650baa9bbd937a1211785.png,Normal
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-3742.png,Lung_Opacity
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-5065.png,Lung_Opacity
COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-171.png,Viral Pneumonia
VIN/3658f7b8ea8bfd1a1dfc1806f142da79.png,Normal
VIN/531be281d79e92304e04999e760a7c77.png,Normal
COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-148.png,Viral Pneumonia
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-1308.png,Lung_Opacity
COVID-19_Radiography_Dataset\Normal\images\Normal-6740.png,Normal
COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-587.png,Viral Pneumonia
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-2275.png,Lung_Opacity
VIN/41b0630c88a59aba14b1ec69d5f55c55.png,Normal
VIN/2b24fc9d451749e2edfc5ff60be60192.png,Lung_Opacity
COVID-19_Radiography_Dataset\Normal\images\Normal-8911.png,Normal
VIN/d593950d521cc08356d710dc4a68b73d.png,Normal
VIN/e6fe9b8c55ac87480352537ff03d7d04.png,Normal
VIN/53278593d68fd90429eaf885e01cce59.png,Normal
VIN/a8db71e482a4dc2e83a1f5eecd9568cc.png,Lung_Opacity
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-351.png,Lung_Opacity
VIN/d688b4db4f86e96344dda69d8ed529f9.png,Normal
VIN/c3cc4ed7d72fa0c809257b2be13f855f.png,Normal
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-156.png,Lung_Opacity
COVID-19_Radiography_Dataset\Normal\images\Normal-225.png,Normal
VIN/823feb835c8aea70c0ac4f9678d39879.png,Normal
VIN/a2c8aa4adf9ec69fba7ec2df32075709.png,Normal
VIN/f791a58edd0f0080354090193069373d.png,Fibrosis
COVID-19_Radiography_Dataset\COVID\images\COVID-2383.png,COVID
COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-395.png,Viral Pneumonia
VIN/5e24ece4ca0e38ffebf6d92a74b944a7.png,Normal
VIN/5c6e3e0700cff1f8d88bad0ba40076aa.png,Lung_Opacity
VIN/09f575260ca3169ad362eb82a5e66349.png,Normal
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-3317.png,Lung_Opacity
VIN/0fcb5f06dba5a03b16df46dc966a3996.png,Normal
VIN/ffe0131765a4c58a0f59abb68b192dbd.png,Normal
COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-889.png,Viral Pneumonia
COVID-19_Radiography_Dataset\Normal\images\Normal-1640.png,Normal
COVID-19_Radiography_Dataset\Normal\images\Normal-7432.png,Normal
VIN/c117236e36f92684077b35b460de707d.png,Normal
VIN/dc31ce81fcf53c987f2c8ddcb8c162d4.png,Fibrosis
VIN/c69e0cf50d505bd920d0b7a1003c13ca.png,Normal
COVID-19_Radiography_Dataset\COVID\images\COVID-3091.png,COVID
VIN/0d4c15118dc3c0c0f9fb402d15286089.png,Normal
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-1744.png,Lung_Opacity
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-6007.png,Lung_Opacity
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-3471.png,Lung_Opacity
VIN/cfcd11e1470297208eb39c9e82d6618a.png,Fibrosis
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-4113.png,Lung_Opacity
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-4342.png,Lung_Opacity
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-2498.png,Lung_Opacity
COVID-19_Radiography_Dataset\Normal\images\Normal-9500.png,Normal
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-5972.png,Lung_Opacity
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-271.png,Lung_Opacity
COVID-19_Radiography_Dataset\COVID\images\COVID-2055.png,COVID
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-642.png,Lung_Opacity
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-192.png,Lung_Opacity
COVID-19_Radiography_Dataset\COVID\images\COVID-2813.png,COVID
COVID-19_Radiography_Dataset\COVID\images\COVID-2337.png,COVID
COVID-19_Radiography_Dataset\Normal\images\Normal-6119.png,Normal
VIN/9049aa8aa21b134a75e38dfc18facced.png,Lung_Opacity
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-522.png,Lung_Opacity
COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-668.png,Viral Pneumonia
COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-4377.png,Lung_Opacity
VIN/147d8558a31fff30032fc9b8b8b0a98f.png,Normal
COVID-19_Radiography_Dataset\Normal\images\Normal-9318.png,Normal
COVID-19_Radiography_Dataset\COVID\images\COVID-411.png,COVID
VIN/e89790c02bea2b743ea1bf4ee5d7339b.png,Normal
COVID-19_Radiography_Dataset\Normal\images\Normal-1996.png,Normal
VIN/27524f993d518eff96d3a3a15a67e519.png,Normal
